Tag	GSM4101749	GSM4101750	GSM4101751	GSM4101752	GSM4101753	GSM4101754	GSM4101755	GSM4101756	GSM4101757	GSM4101758	GSM4101759	GSM4101760	GSM4101761
A1CF	3.23643	4.01058	3.33822	3.55597	3.54284	3.40885	3.57442	3.68453	3.49901	3.82515	3.62365	3.19402	3.65611
A2M	10.9676	10.4869	11.2366	10.0052	10.7233	10.238	10.291	11.1038	9.37913	9.9348	11.2223	10.5621	10.5688
A2ML1	6.66804	3.65938	3.81723	3.64948	4.02828	4.04192	3.7733	4.21752	3.90065	4.61123	4.14843	3.58126	4.19534
A3GALT2	4.0284	4.05048	4.5041	4.53643	4.72086	4.38921	4.40404	3.48715	4.187	4.50923	3.86434	4.08126	4.61647
A4GALT	6.63488	5.87544	6.42441	6.13896	6.44627	5.85113	6.95549	5.52899	6.32729	6.52677	5.96478	6.76634	6.18346
A4GNT	3.32048	3.43563	3.51962	3.75232	3.45814	3.03761	3.24252	3.54963	3.24572	3.47244	3.02594	3.37465	3.35867
AAAS	7.19514	7.76869	7.98503	8.27566	7.98772	8.23316	7.71823	7.33956	8.33244	8.07074	7.80975	8.12243	7.88428
AACS	6.89117	6.53913	6.51036	6.90949	6.7231	7.20636	6.38793	6.28149	6.77952	6.626	6.56	6.83433	6.38846
AADAC	2.55939	2.34976	2.56226	2.59661	2.17758	2.26727	2.63218	2.7304	2.32853	2.35593	2.30998	2.64924	2.65087
AADACL2	2.37268	2.34314	2.62828	2.93633	2.77381	2.52733	2.21013	2.85673	2.39999	2.56083	2.71355	2.45582	2.6349
AADACL3	3.54333	3.66743	3.55534	3.70295	4.00921	3.51934	3.27668	3.86055	3.85651	3.80423	3.41475	3.21359	3.6257
AADACL4	3.18579	3.34997	3.38336	3.19139	3.08074	3.5876	3.56433	4.01238	3.46119	3.35826	3.39973	3.17742	3.61052
AADAT	4.98734	6.61051	6.66203	6.64443	5.46248	7.18298	6.81241	6.34182	4.80449	7.08727	5.8888	7.29734	7.59651
AAGAB	7.34384	7.16657	7.14899	7.05083	6.37482	7.32197	6.69315	6.68635	6.6204	6.60894	6.56448	6.96154	6.03425
AAK1	8.436955	9.94069	9.122115	9.801625	8.55507	8.85625	9.097355	8.958965	7.805745	9.435525	9.060985	9.587745	8.991875
AAMDC	5.46976	6.88559	6.21528	6.55223	4.76023	5.8354	5.90313	5.89098	5.00848	6.17139	5.44311	6.36767	5.85275
AAMP	7.73673	7.96449	7.26351	8.10534	7.511	8.57499	7.07766	7.91959	7.86379	7.63572	8.04957	7.60485	7.69489
AANAT	4.26964	4.49683	4.19544	4.1828	4.38786	4.46245	4.21594	3.64312	4.35299	3.98537	4.40183	4.3294	4.37972
AAR2	7.05688	7.6961	7.46259	7.67501	7.68523	7.88887	7.46731	7.40658	7.81128	7.66995	7.95694	7.77571	7.72586
AARD	4.77535	4.30775	4.24189	4.34617	4.22861	5.04534	4.4534	5.08644	4.69985	4.25808	4.1776	4.23189	4.17814
AARS1	9.32842	9.24537	9.55846	8.97754	9.05119	9.70792	8.46073	9.75418	8.60891	8.63542	9.03564	8.57747	8.6687
AARS2	5.03271	4.82759	4.87765	5.77534	5.436	5.3932	5.38083	5.01655	6.04894	4.82421	5.34157	5.55005	4.90166
AASDH	6.77821	6.23399	6.3408	6.63724	6.51033	6.65248	6.20484	6.50835	6.54682	6.73673	6.54341	6.79987	6.52831
AASDHPPT	7.27416	7.12089	6.75255	7.25403	7.52555	7.59435	6.72521	7.06795	7.33027	7.59322	7.47211	7.21497	7.77978
AASS	7.35613	6.89999	6.72934	7.66627	7.33996	6.80183	7.5206	7.03449	6.74839	7.20135	7.51974	7.72526	7.04138
AATBC	4.87829	4.85492	4.44448	4.79113	4.81868	5.17535	4.71904	4.19349	4.71377	4.5361	4.42252	4.0865	4.3383
AATF	8.61475	9.08552	9.05468	7.91209	8.08227	8.08206	7.53642	8.24123	7.74777	7.67495	8.1102	8.17851	7.96629
AATK	5.17892	5.54756	5.07705	5.61807	5.50099	5.62125	5.69877	5.52385	5.6349	5.40909	5.24865	5.33335	5.44059
ABAT	6.0186	8.94379	7.81259	9.83471	7.70532	8.41099	8.82011	7.3489	6.95491	8.38459	8.32579	9.34358	9.04819
ABCA1	7.2877	7.54834	6.15395	7.46511	7.48832	8.06614	7.22051	7.14386	7.50266	6.6589	8.1213	7.50913	7.18972
ABCA10	3.97981	3.80035	4.85651	4.15893	4.33402	3.38912	6.25923	4.54715	3.68111	5.38251	4.05742	5.55264	4.76377
ABCA11P	4.41659	4.47272	4.61538	4.85194	4.36839	4.30243	4.24907	4.94462	4.88704	4.31889	4.33511	4.85389	4.10015
ABCA12	6.25462	3.37813	3.24454	3.46378	3.49782	3.49971	3.24309	3.56064	3.29579	3.70473	3.30213	3.03778	3.73294
ABCA13	5.96041	8.84627	4.67326	6.04599	4.96597	4.38487	5.15773	4.68433	4.79457	5.98959	5.98572	7.16242	6.00954
ABCA2	6.64635	8.43832	7.53573	8.54129	7.55629	8.71164	8.00167	7.31336	7.28325	7.782	8.31336	8.14012	7.58312
ABCA3	6.73396	7.82514	7.36368	7.78601	7.36979	8.21038	8.04385	7.25364	7.13329	7.40606	8.27717	8.01846	7.27852
ABCA4	4.02953	3.93854	3.81183	4.06607	3.92031	3.87454	4.05213	3.85793	3.94683	3.87472	3.84914	3.99392	3.99147
ABCA5	7.13328	6.88148	6.90545	7.25703	6.86822	6.14788	6.69138	7.10925	6.80616	6.85348	6.44154	7.13431	6.67305
ABCA6	6.74738	4.7251	6.26452	5.35548	6.78642	4.13798	7.69039	7.18397	6.87963	6.84049	6.92185	7.44203	7.02673
ABCA7	5.95297	5.77662	5.89449	6.12367	6.93045	6.1049	6.3086	5.98135	7.41382	5.87821	6.15644	5.99679	5.56893
ABCA8	6.16037	5.2736	6.52123	5.21722	5.59713	4.06525	7.13645	6.5736	4.77139	6.76094	6.67602	7.43449	6.13588
ABCA9	5.59492	4.69934	5.77192	4.25974	6.05172	4.09214	7.17626	6.69204	5.52862	7.0564	6.58012	7.66645	6.79236
ABCB1	6.38772	4.24532	5.35202	5.52578	5.79389	4.75086	4.90669	5.93114	5.12895	4.30237	5.8435	5.1664	4.68075
ABCB10	6.88779	6.48979	6.55512	7.30602	7.13103	7.34107	6.9937	6.93723	7.37044	6.84382	6.9382	7.00479	6.86469
ABCB11	2.69844	3.06174	3.02	3.10273	3.9291	2.88943	3.0461	3.31209	3.0649	2.95114	3.40602	2.72265	2.61545
ABCB4	4.21157	3.97618	4.2604	3.66904	6.88064	3.96647	4.27672	4.91849	6.27025	4.16542	4.90756	4.06559	4.4496
ABCB5	2.82815	2.71232	2.98844	2.7334	3.28477	2.72922	2.63118	2.9386	2.69819	2.92414	2.72256	2.59546	3.31507
ABCB6	5.84806	6.14042	5.85177	6.39353	5.47422	6.34507	5.66971	5.51017	5.79953	5.41982	5.73618	5.8467	5.65385
